"after working the last two weekends in a row this weekend i m looking forward to a fucking lay in .","IN VVG DT JJ CD NNS IN DT NN DT NN NP NN VVG RB TO DT VVG VV RP SENT",en_UK,1,pos
"earned success is my brand of heroine . i never want to come down .","VVN NN VBZ PP$ NN IN NN SENT NP RB VVP TO VV RP SENT",en_UK,1,pos
"glad to see the laclippers beat the heat lobcity","JJ TO VV DT NNS VVP DT NN NN",en_UK,1,pos
"chirs paul is the best pg in da league kyrie is coming up there wit him ! cp3 is a floor general","NNS NN VBZ DT JJS NN IN NN NN NN VBZ VVG RP RB NN PP SENT NN VBZ DT NN NN",en_UK,1,pos
"buzzin for twilight","NN IN NN",en_UK,1,pos
"john lewis do the best christmas adverts","NN NN VVP DT JJS NNS NNS",en_UK,1,pos
"thanks to everyone that has been checking out my stuff . i see a big increase in listeners on soundlcloud .","NNS TO NN WDT VHZ VBN VVG RP PP$ NN SENT NP VV DT JJ NN IN NNS IN NN SENT",en_UK,1,pos
"chrisissnowie i prefer you in a tutu ! yes , i saw you ;","NP NP VVP PP IN DT NN SENT UH , NP VVD PP :",en_UK,1,pos
"holsfrost i love that video so much we have to do this","NP NP VVP IN/that NN RB JJ PP VHP TO VV DT",en_UK,1,pos
"anticipating tomorrow","VVG NN",en_UK,1,pos
"feeling good , living better . http : t . co bazpdxju","VVG JJ , VVG JJR SENT NN : NN SENT NP NP",en_UK,1,pos
"the only thing getting me through his week is the thought of the big bang theory tonight","DT JJ NN VVG PP IN PP$ NN VBZ DT NN IN DT JJ NN NN NN",en_UK,1,pos
"outsidertart thank you that s great :","NN VVP PP IN/that JJ JJ :",en_UK,1,pos
"rt cassieclare : thanks again everyone for all the nice words about the trailer and for getting welcometothecityofbones to trend ! you g . . .","JJ NN : NNS RB NN IN PDT DT JJ NNS IN DT NN CC IN VVG NNS TO NN SENT PP NN SENT SENT SENT",en_UK,1,pos
"onedirection i love your new album ! ! ! !","NP NP VV PP$ JJ NN SENT SENT SENT SENT",en_UK,1,pos
"rt muhbeenh : mshafiquk yvonneridley wish her the best of luck . i hope for a clean campaign .","JJ NNS : NP NP VVP PP DT JJS IN NN SENT NP NN IN DT JJ NN SENT",en_UK,1,pos
"shower then a big ass bowl of cereal ! winning","VV RB DT JJ NN NN IN NN SENT VVG",en_UK,1,pos
"congrats rare basement ! urynus picked your tweet as tweet of the day : http : t . co ne5pdaxv","NN JJ NN SENT NN VVD PP$ VVP RB VV IN DT NN : NN : NN SENT NP NP",en_UK,1,pos
"rt jenniii412 : my dad is the shit","JJ NN : PP$ NN VBZ DT NN",en_UK,1,pos
"damn right i like the life i live","RB JJ NP IN DT NN NP VV",en_UK,1,pos
"breaking dawn part 2 is amazing ! ! !","VVG NN NN CD VBZ JJ SENT SENT SENT",en_UK,1,pos
"i m just coolin today . . . no worries at all !","NP NN RB NN NN SENT SENT SENT DT NNS IN DT SENT",en_UK,1,pos
"i hate the fact that you have to leave . fcuk ! !","NP VVP DT NN IN/that PP VHP TO VV SENT NP SENT SENT",en_UK,1,pos
"rt jellydinedine : im looking forward to see a difference .","JJ NN : NP VVG RB TO VV DT NN SENT",en_UK,1,pos
"love notes like the i found on my desk this morning from my husband , are the best ! write one todayand spread the love ! http : t . co sbh0khut","NN NNS IN DT NP VVD IN PP$ NN DT NN IN PP$ NN , VBP DT JJS SENT VV CD NN VVD DT NN SENT NN : NN SENT NP NP",en_UK,1,pos
"alexjrwaite so you are excited you just pretend not to be frontin","NP IN PP VBP VVN PP RB VV RB TO VB JJ",en_UK,1,pos
"nicbjo gah i love that song !","NP NP NP VVP IN/that NN SENT",en_UK,1,pos
"loving the gym atm ! ! ! ! hope my protein shakes arrive tomorrow needprotein","JJ DT NN NN SENT SENT SENT SENT VV PP$ NN VVZ VV NN NN",en_UK,1,pos
"rt notesforgirlz : love your parents . we are so busy growing up , we often forget they are also growing old .","JJ NN : VVP PP$ NNS SENT PP VBP RB JJ VVG RP , PP RB VV PP VBP RB VVG JJ SENT",en_UK,1,pos
"relation oke with my gurl hope she caring","NN NN IN PP$ NN VVP PP VVG",en_UK,1,pos
"britneyspears follow me back please ? : p you re voice is out of this worldd ! x","NNS VVP PP RB VV SENT : NN PP IN NN VBZ RP IN DT NN SENT SYM",en_UK,1,pos
